№,tweet,A,H,target,cat_1 Religion/creed,"cat_2
Race/ethnicity","cat_3
Physical/disability","cat_4
Gender/sexual orientation","cat_5
Other invective/slander",level,Annotator 1 / Annotator 2,№,tweet,A,H,target,cat_1 Religion/creed,"cat_2
Race/ethnicity","cat_3
Physical/disability","cat_4
Gender/sexual orientation","cat_5
Other invective/slander",level,
1,"У меня есть друзья-пидоры, нормальные вроде ребята. ",1,0,G,0,0,0,1,0,,,1,"У меня есть друзья-пидоры, нормальные вроде ребята. ",1,0,G,0,0,0,1,0,,
2,"В Израиле вот постоянно гей-парады устраивают, а у нас бы за такое жестоко покарали. ",0,1,G,0,0,0,1,0,S,,,"В Израиле вот постоянно гей-парады устраивают, а у нас бы за такое жестоко покарали. ",0,1,G,0,0,0,1,0,S,
3,"Много ли девушек, которым совсем незнаком лесбийский секс?",0,0,G,0,0,0,0,0,_,,3,"Много ли девушек, которым совсем незнаком лесбийский секс?",0,0,G,0,0,0,0,0,,
4,"В Британии лечили геев химической кастрацией, и правильно делали!",0,1,G,0,0,0,1,0,S,,4,"В Британии лечили геев химической кастрацией, и правильно делали!",1,1,G,0,0,0,1,0,Weak,
5,"Если мужчина возляжет с мужчиной как с женщиной, обоих надо забить камнями. По-моему, правильно. ",0,1,G,0,0,0,0,1,S,,5,"Если мужчина возляжет с мужчиной как с женщиной, обоих надо забить камнями. По-моему, правильно. ",1,1,G,0,0,0,0,1,Moderate,
6,"Вы видели эту Кончиту? Смотреть противно, как и на всех этих трансов. ",1,1,G + I,0,0,0,0,0,M,,6,"Вы видели эту Кончиту? Смотреть противно, как и на всех этих трансов. ",1,1,G + I,0,0,0,0,0,Strong,
7,"Негр - нормальное русское слово, а Нигер - вообще страна в африке. ",1,0,G,0,0,0,0,0,_,,7,"Негр - нормальное русское слово, а Нигер - вообще страна в африке. ",1,0,G,0,0,0,0,0,,
8,"Те, кого ты называешь чурками и хачами, имели цивилизацию намного раньше нашей. ",1,0,G,0,0,0,0,0,pos,,8,"Те, кого ты называешь чурками и хачами, имели цивилизацию намного раньше нашей. ",1,0,G,0,0,0,0,0,,
9,"Обитают там узбеки, таджики, чучмеки, и прочие недоразвитые народности. ",1,1,G,0,1,0,0,0,M,,9,"Обитают там узбеки, таджики, чучмеки, и прочие недоразвитые народности. ",1,1,G,0,1,0,0,0,Strong,
10,"Чёрные люди всё-таки ближе к обезьяне, переходный вид, можно сказать. ",0,1,G,0,1,0,0,0,M,,10,"Чёрные люди всё-таки ближе к обезьяне, переходный вид, можно сказать. ",1,1,G,0,1,0,0,0,M,
11,В России десятки тысяч людей с синдромом Дауна,0,0,0,0,0,0,0,0,_,,11,В России десятки тысяч людей с синдромом Дауна,0,0,0,0,0,0,0,0,,
12,Результат - венерические заболевания продолжают распространяться,0,0,0,0,0,0,0,0,_,,12,Результат - венерические заболевания продолжают распространяться,0,0,0,0,0,0,0,0,,
13,"Ты чего сидишь там тупишь, даун что ли?",1,1,I,0,0,1,0,0,W,,13,"Ты чего сидишь там тупишь, даун что ли?",1,1,I,0,0,1,0,0,W,
14,"Не понимаю, почему не разрешают эвтаназию для инвалидов, всё ж лучше, чем жить и мучаться",0,1,G,0,0,1,0,0,S,,14,"Не понимаю, почему не разрешают эвтаназию для инвалидов, всё ж лучше, чем жить и мучаться",0,1,G,0,0,1,0,0,Moderate,
15,"Мне кажется, что украинские девушки симпатичнее русских, но это моё личное мнение. ",0,0,0,0,0,0,0,0,_,,15,"Мне кажется, что украинские девушки симпатичнее русских, но это моё личное мнение. ",0,0,0,0,0,0,0,0,,
